Username,Repo_name,Stars,Url,Issues,Pull_Requests,Forks,Topics
babel,babel-eslint,300,https://github.com/babel/babel-eslint,0,4,229,Babel
kunalkapadia,express-mongoose-es6-rest-api,2800,https://github.com/kunalkapadia/express-mongoose-es6-rest-api,58,11,695,Babel
thx,gogocode,2800,https://github.com/thx/gogocode,15,0,199,Babel
privatenumber,esbuild-loader,2700,https://github.com/privatenumber/esbuild-loader,7,0,65,Babel
uidotdev,react-course,2500,https://github.com/uidotdev/react-course,1,0,924,Babel
jlevy,the-art-of-command-line,10200,https://github.com/jlevy/the-art-of-command-line,107,96,1100,Bash
nvm-sh,nvm,55400,https://github.com/nvm-sh/nvm,284,57,5800,Bash
junegunn,fzf,42100,https://github.com/junegunn/fzf,229,41,1800,Bash
dylanaraps,pure-bash-bible,28300,https://github.com/dylanaraps/pure-bash-bible,31,15,2600,Bash
koalaman,shellcheck,27800,https://github.com/koalaman/shellcheck,729,5,1400,Bash
mathiasbynens,dotfiles,27400,https://github.com/mathiasbynens/dotfiles,132,57,8700,Bash
LeCoupa,awesome-cheatsheets,26900,https://github.com/LeCoupa/awesome-cheatsheets,14,34,4400,Bash
acmesh-official,acme.sh,25400,https://github.com/acmesh-official/acme.sh,689,153,3500,Bash
alebcay,awesome-shell,22900,https://github.com/alebcay/awesome-shell,29,52,2100,Bash
starship,starship,22400,https://github.com/starship/starship,294,73,931,Bash
jaywcjlove,linux-command,17900,https://github.com/jaywcjlove/linux-command,33,2,400,Bash
Nyr,openvpn-install,14400,https://github.com/Nyr/openvpn-install,37,12,3900,Bash
dylanaraps,neofetch,14300,https://github.com/dylanaraps/neofetch,97,93,100,Bash
rbenv,rbenv,1400,https://github.com/rbenv/rbenv,14,10,1300,Bash
powerline,powerline,13100,https://github.com/powerline/powerline,179,29,974,Bash
shelljs,shelljs,1300,https://github.com/shelljs/shelljs,86,9,711,Bash
Bash-it,bash-it,12800,https://github.com/Bash-it/bash-it,43,48,2200,Bash
jessfraz,dockerfiles,12300,https://github.com/jessfraz/dockerfiles,50,24,2200,Bash
faressoft,terminalizer,12300,https://github.com/faressoft/terminalizer,79,24,438,Bash
withfig,autocomplete,10700,https://github.com/withfig/autocomplete,101,16,2700,Bash
denisidoro,navi,10300,https://github.com/denisidoro/navi,30,3,409,Bash
codota,TabNine,900,https://github.com/codota/TabNine,195,1,406,Bash
rgcr,m-cli,8700,https://github.com/rgcr/m-cli,14,8,309,Bash
alexanderepstein,Bash-Snippets,8600,https://github.com/alexanderepstein/Bash-Snippets,6,1,781,Bash
direnv,direnv,8400,https://github.com/direnv/direnv,194,18,465,Bash
kanaka,mal,8400,https://github.com/kanaka/mal,19,22,200,Bash
skywind3000,awesome-cheatsheets,8100,https://github.com/skywind3000/awesome-cheatsheets,6,14,1600,Bash
carlospolop,PEASS-ng,7700,https://github.com/carlospolop/PEASS-ng,5,0,1900,Bash
angristan,openvpn-install,7400,https://github.com/angristan/openvpn-install,67,25,1900,Bash
extrawurst,gitui,7300,https://github.com/extrawurst/gitui,55,21,264,Bash
bitcoin,bitcoin,61900,https://github.com/bitcoin/bitcoin,618,430,31600,Bitcoin
ccxt,ccxt,23300,https://github.com/ccxt/ccxt,508,159,5700,Bitcoin
HelloZeroNet,ZeroNet,17300,https://github.com/HelloZeroNet/ZeroNet,695,54,2200,Bitcoin
freqtrade,freqtrade,15800,https://github.com/freqtrade/freqtrade,48,21,3400,Bitcoin
askmike,gekko,9900,https://github.com/askmike/gekko,0,0,4100,Bitcoin
bbfamily,abu,8800,https://github.com/bbfamily/abu,NA,1,3100,Bitcoin
solana-labs,solana,7300,https://github.com/solana-labs/solana,653,216,1600,Bitcoin
lbryio,lbry-sdk,7100,https://github.com/lbryio/lbry-sdk,344,11,456,Bitcoin
dvf,blockchain,6700,https://github.com/dvf/blockchain,61,47,2500,Bitcoin
yeasy,blockchain_guide,600,https://github.com/yeasy/blockchain_guide,3,0,1800,Bitcoin
lightningnetwork,lnd,5800,https://github.com/lightningnetwork/lnd,329,105,1600,Bitcoin
butor,blackbird,5500,https://github.com/butor/blackbird,217,2,100,Bitcoin
spesmilo,electrum,5500,https://github.com/spesmilo/electrum,931,60,2700,Bitcoin
btcsuite,btcd,4700,https://github.com/btcsuite/btcd,136,82,1600,Bitcoin
bitcoinjs,bitcoinjs-lib,4500,https://github.com/bitcoinjs/bitcoinjs-lib,35,1,1700,Bitcoin
bitcoinj,bitcoinj,4200,https://github.com/bitcoinj/bitcoinj,282,78,2300,Bitcoin
bisq-network,bisq,3900,https://github.com/bisq-network/bisq,264,11,1200,Bitcoin
CryptoSignal,Crypto-Signal,3800,https://github.com/CryptoSignal/Crypto-Signal,50,6,1100,Bitcoin
michaelgrosner,tribeca,3700,https://github.com/michaelgrosner/tribeca,107,10,914,Bitcoin
coinpride,CryptoList,3600,https://github.com/coinpride/CryptoList,9,79,573,Bitcoin
Scanate,EthList,3600,https://github.com/Scanate/EthList,1,0,426,Bitcoin
RomelTorres,alpha_vantage,3600,https://github.com/RomelTorres/alpha_vantage,6,5,641,Bitcoin
jesse-ai,jesse,3600,https://github.com/jesse-ai/jesse,0,7,433,Bitcoin
Zheaoli,awesome-coins,3500,https://github.com/Zheaoli/awesome-coins,7,2,274,Bitcoin
bitpay,wallet,3400,https://github.com/bitpay/wallet,321,6,1700,Bitcoin
btcpayserver,btcpayserver,3300,https://github.com/btcpayserver/btcpayserver,58,16,794,Bitcoin
SqueezerIO,squeezer,3300,https://github.com/SqueezerIO/squeezer,15,0,154,Bitcoin
Jeiwan,blockchain_go,3200,https://github.com/Jeiwan/blockchain_go,29,19,987,Bitcoin
cointop-sh,cointop,300,https://github.com/cointop-sh/cointop,39,3,255,Bitcoin
bitcoin-wallet,bitcoin-wallet,2700,https://github.com/bitcoin-wallet/bitcoin-wallet,51,16,1800,Bitcoin
twbs,bootstrap,15500,https://github.com/twbs/bootstrap,325,130,76100,Bootstrap
ColorlibHQ,AdminLTE,40400,https://github.com/ColorlibHQ/AdminLTE,40,20,17500,Bootstrap
tabler,tabler,2500,https://github.com/tabler/tabler,59,4,2900,Bootstrap
mdbootstrap,mdb-ui-kit,2200,https://github.com/mdbootstrap/mdb-ui-kit,6,0,3500,Bootstrap
react-bootstrap,react-bootstrap,20400,https://github.com/react-bootstrap/react-bootstrap,138,33,3300,Bootstrap
ColorlibHQ,gentelella,20400,https://github.com/ColorlibHQ/gentelella,30,17,6800,Bootstrap
verekia,js-stack-from-scratch,18900,https://github.com/verekia/js-stack-from-scratch,39,10,1900,Bootstrap
bootstrap-vue,bootstrap-vue,13700,https://github.com/bootstrap-vue/bootstrap-vue,147,25,1800,Bootstrap
thomaspark,bootswatch,13400,https://github.com/thomaspark/bootswatch,14,1,3600,Bootstrap
uxsolutions,bootstrap-datepicker,12500,https://github.com/uxsolutions/bootstrap-datepicker,761,97,6200,Bootstrap
wenzhixin,bootstrap-table,11100,https://github.com/wenzhixin/bootstrap-table,169,3,4500,Bootstrap
coreui,coreui-free-bootstrap-admin-template,11100,https://github.com/coreui/coreui-free-bootstrap-admin-template,20,6,300,Bootstrap
reactstrap,reactstrap,10200,https://github.com/reactstrap/reactstrap,244,40,1300,Bootstrap
Templarian,MaterialDesign,9800,https://github.com/Templarian/MaterialDesign,378,0,671,Bootstrap
snapappointments,bootstrap-select,9500,https://github.com/snapappointments/bootstrap-select,236,9,2700,Bootstrap
mdbootstrap,material-design-for-bootstrap,9500,https://github.com/mdbootstrap/material-design-for-bootstrap,25,1,1200,Bootstrap
StartBootstrap,startbootstrap-sb-admin-2,9100,https://github.com/StartBootstrap/startbootstrap-sb-admin-2,56,12,5500,Bootstrap
ng-bootstrap,ng-bootstrap,7900,https://github.com/ng-bootstrap/ng-bootstrap,330,58,1500,Bootstrap
BlackrockDigital,startbootstrap,7100,https://github.com/BlackrockDigital/startbootstrap,3,0,2800,Bootstrap
olton,Metro-UI-CSS,6900,https://github.com/olton/Metro-UI-CSS,41,0,200,Bootstrap
twbs,icons,5900,https://github.com/twbs/icons,183,16,820,Bootstrap
creativetimofficial,material-kit,5700,https://github.com/creativetimofficial/material-kit,17,4,658,Bootstrap
febsteam,FEBS-Shiro,5700,https://github.com/febsteam/FEBS-Shiro,5,2,2200,Bootstrap
valor-software,ngx-bootstrap,5400,https://github.com/valor-software/ngx-bootstrap,453,31,1700,Bootstrap
Bttstrp,bootstrap-switch,5100,https://github.com/Bttstrp/bootstrap-switch,191,9,1500,Bootstrap
kartik-v,bootstrap-fileinput,5100,https://github.com/kartik-v/bootstrap-fileinput,4,0,2400,Bootstrap
jschr,bootstrap-modal,500,https://github.com/jschr/bootstrap-modal,96,14,1200,Bootstrap
givanz,VvvebJs,4700,https://github.com/givanz/VvvebJs,156,8,1200,Bootstrap
seyhunak,twitter-bootstrap-rails,4500,https://github.com/seyhunak/twitter-bootstrap-rails,37,21,100,Bootstrap
cloudfavorites,favorites-web,4500,https://github.com/cloudfavorites/favorites-web,2,0,1700,Bootstrap
ccxt,ccxt,23300,https://github.com/ccxt/ccxt,508,159,5700,Bot
python-telegram-bot,python-telegram-bot,17700,https://github.com/python-telegram-bot/python-telegram-bot,25,7,3800,Bot
discordjs,discord.js,17500,https://github.com/discordjs/discord.js,54,24,3200,Bot
hubotio,hubot,16100,https://github.com/hubotio/hubot,82,19,3900,Bot
InstaPy,InstaPy,13800,https://github.com/InstaPy/InstaPy,285,24,3500,Bot
RasaHQ,rasa,13600,https://github.com/RasaHQ/rasa,891,116,3900,Bot
wechaty,wechaty,12100,https://github.com/wechaty/wechaty,216,3,1700,Bot
gunthercox,ChatterBot,1200,https://github.com/gunthercox/ChatterBot,286,36,400,Bot
howdyai,botkit,10600,https://github.com/howdyai/botkit,24,6,2300,Bot
botpress,botpress,9600,https://github.com/botpress/botpress,178,6,1300,Bot
sfyc23,EverydayWechat,8800,https://github.com/sfyc23/EverydayWechat,16,3,2100,Bot
tgbot-collection,YYeTsBot,8700,https://github.com/tgbot-collection/YYeTsBot,1,3,1300,Bot
leon-ai,leon,8500,https://github.com/leon-ai/leon,46,12,739,Bot
microsoft,ailab,6900,https://github.com/microsoft/ailab,24,41,1300,Bot
EZFNDEV,EZFN-Lobbybot,6900,https://github.com/EZFNDEV/EZFN-Lobbybot,20,6,390,Bot
microsoft,botframework-sdk,6700,https://github.com/microsoft/botframework-sdk,144,16,2400,Bot
maxbbraun,trump2cash,6100,https://github.com/maxbbraun/trump2cash,25,7,856,Bot
yagop,node-telegram-bot-api,5900,https://github.com/yagop/node-telegram-bot-api,198,1,1100,Bot
deepmipt,DeepPavlov,5600,https://github.com/deepmipt/DeepPavlov,101,22,100,Bot
botman,botman,5600,https://github.com/botman/botman,261,16,764,Bot
telegraf,telegraf,5300,https://github.com/telegraf/telegraf,46,3,754,Bot
pedroslopez,whatsapp-web.js,4900,https://github.com/pedroslopez/whatsapp-web.js,59,17,1200,Bot
axa-group,nlp.js,4800,https://github.com/axa-group/nlp.js,133,6,472,Bot
jef,streetmerchant,4800,https://github.com/jef/streetmerchant,23,15,1400,Bot
ohld,igbot,4100,https://github.com/ohld/igbot,35,0,1500,Bot
Mrs4s,go-cqhttp,3900,https://github.com/Mrs4s/go-cqhttp,107,11,799,Bot
Yoctol,bottender,3800,https://github.com/Yoctol/bottender,44,8,313,Bot
PokemonGoF,PokemonGo-Bot,3700,https://github.com/PokemonGoF/PokemonGo-Bot,149,7,1600,Bot
chrisleekr,binance-trading-bot,3600,https://github.com/chrisleekr/binance-trading-bot,60,0,705,Bot
snipsco,snips-nlu,3600,https://github.com/snipsco/snips-nlu,60,1,500,Bot
Genymobile,scrcpy,61200,https://github.com/Genymobile/scrcpy,889,32,6500,C
neovim,neovim,50800,https://github.com/neovim/neovim,1200,350,3700,C
git,git,41100,https://github.com/git/git,NA,87,22900,C
obsproject,obs-studio,36100,https://github.com/obsproject/obs-studio,476,153,5600,C
fffaraz,awesome-cpp,35800,https://github.com/fffaraz/awesome-cpp,340,52,600,C
serhii-londar,open-source-mac-os-apps,29400,https://github.com/serhii-londar/open-source-mac-os-apps,31,18,1900,C
FFmpeg,FFmpeg,28200,https://github.com/FFmpeg/FFmpeg,NA,1,9200,C
vim,vim,26200,https://github.com/vim/vim,1100,86,400,C
curl,curl,23700,https://github.com/curl/curl,12,34,4900,C
ggreer,the_silver_searcher,23300,https://github.com/ggreer/the_silver_searcher,387,123,1300,C
huihut,interview,22200,https://github.com/huihut/interview,4,2,6200,C
ruby,ruby,18900,https://github.com/ruby/ruby,NA,337,5800,C
mpv-player,mpv,17800,https://github.com/mpv-player/mpv,683,87,2200,C
google,flatbuffers,17500,https://github.com/google/flatbuffers,123,10,2700,C
pbatard,rufus,17400,https://github.com/pbatard/rufus,12,0,1800,C
ossrs,srs,17200,https://github.com/ossrs/srs,159,10,4300,C
oracle,graal,16600,https://github.com/oracle/graal,755,90,1300,C
radareorg,radare2,15800,https://github.com/radareorg/radare2,820,17,2600,C
microsoft,vcpkg,14900,https://github.com/microsoft/vcpkg,963,214,4300,C
shadowsocks,shadowsocks-libev,14800,https://github.com/shadowsocks/shadowsocks-libev,56,8,6400,C
allinurl,goaccess,14300,https://github.com/allinurl/goaccess,337,8,960,C
kovidgoyal,kitty,13600,https://github.com/kovidgoyal/kitty,14,10,661,C
jarun,nnn,13500,https://github.com/jarun/nnn,3,0,541,C
vurtun,nuklear,13400,https://github.com/vurtun/nuklear,207,31,1100,C
facebook,infer,12900,https://github.com/facebook/infer,323,10,1800,C
CoatiSoftware,Sourcetrail,12400,https://github.com/CoatiSoftware/Sourcetrail,356,0,921,C
TheAlgorithms,C,12400,https://github.com/TheAlgorithms/C,3,15,3200,C
hashcat,hashcat,11700,https://github.com/hashcat/hashcat,130,15,200,C
qmk,qmk_firmware,11600,https://github.com/qmk/qmk_firmware,457,394,24500,C
s-matyukevich,raspberry-pi-os,11200,https://github.com/s-matyukevich/raspberry-pi-os,45,4,1100,C
electron,electron,10000,https://github.com/electron/electron,1500,115,13200,Chrome
microsoft,playwright,34200,https://github.com/microsoft/playwright,380,14,1500,Chrome
FiloSottile,mkcert,33700,https://github.com/FiloSottile/mkcert,85,26,1600,Chrome
iamadamdev,bypass-paywalls-chrome,2200,https://github.com/iamadamdev/bypass-paywalls-chrome,0,0,1600,Chrome
ovity,octotree,21800,https://github.com/ovity/octotree,41,0,1800,Chrome
segmentio,nightmare,19100,https://github.com/segmentio/nightmare,174,21,1200,Chrome
jaywcjlove,linux-command,17900,https://github.com/jaywcjlove/linux-command,33,2,400,Chrome
checkly,headless-recorder,13900,https://github.com/checkly/headless-recorder,20,5,635,Chrome
prisma-archive,chromeless,13200,https://github.com/prisma-archive/chromeless,172,26,611,Chrome
google,WebFundamentals,12400,https://github.com/google/WebFundamentals,1200,34,2600,Chrome
casesandberg,react-color,10400,https://github.com/casesandberg/react-color,147,32,849,Chrome
GoogleChrome,chrome-extensions-samples,9500,https://github.com/GoogleChrome/chrome-extensions-samples,37,11,5500,Chrome
crimx,ext-saladict,8700,https://github.com/crimx/ext-saladict,315,3,564,Chrome
uBlock-LLC,uBlock,8100,https://github.com/uBlock-LLC/uBlock,356,14,472,Chrome
chromedp,chromedp,7200,https://github.com/chromedp/chromedp,24,9,601,Chrome
MetaMask,metamask-extension,7200,https://github.com/MetaMask/metamask-extension,1100,111,2800,Chrome
alvarcarto,url-to-pdf-api,6600,https://github.com/alvarcarto/url-to-pdf-api,26,18,698,Chrome
kangvcar,InfoSpider,600,https://github.com/kangvcar/InfoSpider,2,2,1300,Chrome
Kenshin,simpread,5500,https://github.com/Kenshin/simpread,1200,6,432,Chrome
yujiosaka,headless-chrome-crawler,5200,https://github.com/yujiosaka/headless-chrome-crawler,27,3,404,Chrome
MontFerret,ferret,4900,https://github.com/MontFerret/ferret,39,1,275,Chrome
gildas-lormeau,SingleFile,4700,https://github.com/gildas-lormeau/SingleFile,45,0,448,Chrome
firefox-devtools,debugger,4600,https://github.com/firefox-devtools/debugger,0,0,830,Chrome
themerdev,themer,4600,https://github.com/themerdev/themer,19,4,108,Chrome
burtonator,polar-bookshelf,4400,https://github.com/burtonator/polar-bookshelf,964,2,258,Chrome
nieweidong,fetool,4300,https://github.com/nieweidong/fetool,4,2,1100,Chrome
moonD4rk,HackBrowserData,4100,https://github.com/moonD4rk/HackBrowserData,19,0,784,Chrome
browserless,chrome,4100,https://github.com/browserless/chrome,26,2,403,Chrome
ajayyy,SponsorBlock,400,https://github.com/ajayyy/SponsorBlock,187,9,151,Chrome
brookhong,Surfingkeys,3900,https://github.com/brookhong/Surfingkeys,342,27,407,Chrome
iamadamdev,bypass-paywalls-chrome,2200,https://github.com/iamadamdev/bypass-paywalls-chrome,0,0,1600,Chrome extension
refined-github,refined-github,16900,https://github.com/refined-github/refined-github,139,9,1200,Chrome extension
checkly,headless-recorder,13900,https://github.com/checkly/headless-recorder,20,5,635,Chrome extension
darkreader,darkreader,12900,https://github.com/darkreader/darkreader,464,89,1800,Chrome extension
unbug,codelf,12300,https://github.com/unbug/codelf,28,1,907,Chrome extension
crimx,ext-saladict,8700,https://github.com/crimx/ext-saladict,315,3,564,Chrome extension
Anarios,return-youtube-dislike,8200,https://github.com/Anarios/return-youtube-dislike,65,6,328,Chrome extension
listen1,listen1_chrome_extension,8100,https://github.com/listen1/listen1_chrome_extension,175,9,1700,Chrome extension
appbaseio,dejavu,7600,https://github.com/appbaseio/dejavu,49,4,493,Chrome extension
alyssaxuu,screenity,6500,https://github.com/alyssaxuu/screenity,29,5,533,Chrome extension
dailydotdev,daily,5600,https://github.com/dailydotdev/daily,41,1,230,Chrome extension
Kenshin,simpread,5500,https://github.com/Kenshin/simpread,1200,6,432,Chrome extension
gildas-lormeau,SingleFile,4700,https://github.com/gildas-lormeau/SingleFile,45,0,448,Chrome extension
manojVivek,medium-unlimited,4600,https://github.com/manojVivek/medium-unlimited,61,10,416,Chrome extension
dessant,buster,4400,https://github.com/dessant/buster,17,1,400,Chrome extension
ajayyy,SponsorBlock,400,https://github.com/ajayyy/SponsorBlock,187,9,151,Chrome extension
altair-graphql,altair,400,https://github.com/altair-graphql/altair,51,7,170,Chrome extension
zxlie,FeHelper,3900,https://github.com/zxlie/FeHelper,113,1,100,Chrome extension
webclipper,web-clipper,3900,https://github.com/webclipper/web-clipper,149,30,313,Chrome extension
openstyles,stylus,3700,https://github.com/openstyles/stylus,51,3,244,Chrome extension
bilibili-helper,bilibili-helper-o,3700,https://github.com/bilibili-helper/bilibili-helper-o,106,0,473,Chrome extension
dejan,rails_panel,3700,https://github.com/dejan/rails_panel,28,9,153,Chrome extension
lmk123,crx-selection-translate,3600,https://github.com/lmk123/crx-selection-translate,110,0,522,Chrome extension
KartikTalwar,gmail.js,3500,https://github.com/KartikTalwar/gmail.js,82,4,433,Chrome extension
Kholid060,automa,3400,https://github.com/Kholid060/automa,38,0,306,Chrome extension
honestbleeps,Reddit-Enhancement-Suite,3400,https://github.com/honestbleeps/Reddit-Enhancement-Suite,571,49,861,Chrome extension
WorldBrain,Memex,3400,https://github.com/WorldBrain/Memex,274,11,281,Chrome extension
vinta,pangu.js,3300,https://github.com/vinta/pangu.js,30,16,217,Chrome extension
sunoj,jjb,3100,https://github.com/sunoj/jjb,25,8,417,Chrome extension
ronggang,PT-Plugin-Plus,3100,https://github.com/ronggang/PT-Plugin-Plus,89,5,465,Chrome extension
ohmyzsh,ohmyzsh,14100,https://github.com/ohmyzsh/ohmyzsh,176,398,23600,Command line interface
junegunn,fzf,42100,https://github.com/junegunn/fzf,229,41,1800,Command line interface
sharkdp,bat,32400,https://github.com/sharkdp/bat,117,13,859,Command line interface
wagoodman,dive,3000,https://github.com/wagoodman/dive,102,12,1200,Command line interface
sherlock-project,sherlock,29500,https://github.com/sherlock-project/sherlock,72,63,3300,Command line interface
BurntSushi,ripgrep,29400,https://github.com/BurntSushi/ripgrep,107,31,1300,Command line interface
chubin,cheat.sh,28200,https://github.com/chubin/cheat.sh,87,3,1400,Command line interface
cli,cli,27200,https://github.com/cli/cli,366,22,3300,Command line interface
jesseduffield,lazygit,25900,https://github.com/jesseduffield/lazygit,259,21,100,Command line interface
spf13,cobra,25200,https://github.com/spf13/cobra,261,99,2200,Command line interface
angular,angular-cli,25200,https://github.com/angular/angular-cli,260,20,12100,Command line interface
alebcay,awesome-shell,22900,https://github.com/alebcay/awesome-shell,29,52,2100,Command line interface
google,python-fire,21900,https://github.com/google/python-fire,102,32,1300,Command line interface
